timestamp,index,name,util_gpu,util_mem,mem_used,mem_total,power_draw,gfx_clock
2025/10/20 06:26:02.497,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.75 W,180 MHz
2025/10/20 06:26:03.545,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,10.53 W,1455 MHz
2025/10/20 06:26:04.589,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,10.24 W,181 MHz
2025/10/20 06:26:05.634,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,8.93 W,181 MHz
2025/10/20 06:26:06.672,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,8.96 W,181 MHz
2025/10/20 06:26:07.708,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.05 W,181 MHz
2025/10/20 06:26:08.755,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,8.95 W,181 MHz
2025/10/20 06:26:09.793,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,8.92 W,181 MHz
2025/10/20 06:26:10.831,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.05 W,181 MHz
2025/10/20 06:26:11.901,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.05 W,181 MHz
2025/10/20 06:26:12.936,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.05 W,181 MHz
2025/10/20 06:26:13.969,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,9.05 W,22 MHz
2025/10/20 06:26:14.999,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.76 W,22 MHz
2025/10/20 06:26:16.036,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.59 W,22 MHz
2025/10/20 06:26:17.091,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.62 W,22 MHz
2025/10/20 06:26:18.137,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.62 W,22 MHz
2025/10/20 06:26:19.178,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.59 W,22 MHz
2025/10/20 06:26:20.212,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.67 W,22 MHz
2025/10/20 06:26:21.248,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.52 W,22 MHz
2025/10/20 06:26:22.282,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.53 W,22 MHz
2025/10/20 06:26:23.320,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.54 W,22 MHz
2025/10/20 06:26:24.355,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.71 W,22 MHz
2025/10/20 06:26:25.399,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.65 W,22 MHz
2025/10/20 06:26:26.437,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.55 W,22 MHz
2025/10/20 06:26:27.475,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.57 W,22 MHz
2025/10/20 06:26:28.512,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.57 W,22 MHz
2025/10/20 06:26:29.557,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.54 W,22 MHz
2025/10/20 06:26:30.603,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.53 W,22 MHz
2025/10/20 06:26:31.641,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.52 W,22 MHz
2025/10/20 06:26:32.679,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.51 W,22 MHz
2025/10/20 06:26:33.716,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.52 W,22 MHz
2025/10/20 06:26:34.759,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.64 W,22 MHz
2025/10/20 06:26:35.795,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.61 W,22 MHz
2025/10/20 06:26:36.832,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.57 W,22 MHz
2025/10/20 06:26:37.867,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.53 W,22 MHz
2025/10/20 06:26:38.904,0,NVIDIA GeForce RTX 5060 Laptop GPU,0 %,0 %,0 MiB,8151 MiB,4.55 W,22 MHz
